                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3647,                0.69819,                 0.9432,                0.96429,                0.66667,                0.82115,                0.44226,                 1.6863,                0.78503,                  1.023,              0.0033327,              0.0033327,              0.0033327
                     35,                 1.3905,                0.67035,                0.94779,                0.96471,                 0.6749,                0.82374,                0.45427,                 1.6992,                0.75009,                 1.0259,              0.0031306,              0.0031306,              0.0031306
                     36,                 1.3333,                0.66154,                0.93169,                0.95597,                0.62551,                0.79631,                0.44907,                 1.6395,                0.75749,                 1.0096,              0.0029286,              0.0029286,              0.0029286
                     37,                 1.3455,                0.67626,                 0.9342,                0.96319,                0.64609,                 0.8086,                0.45399,                 1.6685,                0.75227,                 1.0159,              0.0027265,              0.0027265,              0.0027265
                     38,                 1.3122,                0.65609,                0.92648,                0.97368,                0.60905,                0.79207,                0.44648,                 1.6611,                  0.723,                 1.0107,              0.0025245,              0.0025245,              0.0025245
                     39,                 1.2808,                0.63117,                0.92614,                0.98137,                0.65021,                0.81433,                0.44082,                 1.7146,                0.74106,                 1.0341,              0.0023224,              0.0023224,              0.0023224
                     40,                 1.3164,                0.63585,                0.92389,                0.96552,                0.69136,                0.83374,                0.43375,                 1.7457,                0.76107,                  1.048,              0.0021204,              0.0021204,              0.0021204
                     41,                 1.2404,                0.62916,                0.90723,                0.95977,                0.68724,                0.82286,                0.43905,                 1.6996,                0.76933,                 1.0336,              0.0019184,              0.0019184,              0.0019184
                     42,                 1.2568,                0.62917,                0.90584,                 0.9548,                0.69547,                 0.8223,                0.44055,                 1.7293,                0.72877,                 1.0405,              0.0017163,              0.0017163,              0.0017163
                     43,                 1.2226,                 0.6129,                0.90452,                0.96175,                0.72428,                0.84808,                 0.4563,                 1.6915,                0.70096,                 1.0293,              0.0015143,              0.0015143,              0.0015143
                     44,                 1.2022,                0.59606,                0.89464,                   0.96,                0.69136,                0.83233,                0.45167,                 1.6829,                 0.7041,                 1.0272,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.1824,                0.59473,                0.88394,                0.96154,                0.72016,                0.84735,                0.46365,                  1.674,                0.71277,                 1.0233,              0.0011102,              0.0011102,              0.0011102
                     46,                 1.1662,                0.57848,                0.89031,                0.94536,                0.71193,                0.84147,                 0.4555,                 1.6652,                0.70818,                 1.0256,             0.00090816,             0.00090816,             0.00090816
                     47,                 1.1572,                0.58179,                0.88938,                0.95531,                 0.7037,                0.84074,                0.44744,                 1.6733,                0.71003,                 1.0289,             0.00070612,             0.00070612,             0.00070612
                     48,                 1.1355,                0.57341,                0.88424,                0.96552,                0.69136,                0.83625,                0.45594,                 1.6661,                0.70355,                 1.0269,             0.00050408,             0.00050408,             0.00050408
